+-------+--------+-----------+-----------+------------+-----------+-----------+---------+-----------+---------+-----------+-------------------+-------------+----------------------+--------+------------+----+
| uid   | active | announced | completed | downloaded | remaining | uploaded  | upspeed | downspeed | corrupt | timespent | useragent         | connectable | peer_id              | fid    | mtime      | ip |
| 10095 |      1 |       158 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427551 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   6803 | 1510413715 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429225 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   7010 | 1510415387 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429253 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   7087 | 1510415412 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |   1097728 |       0 |         0 |       0 |    427235 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   7272 | 1510413383 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427382 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   8368 | 1510413541 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427336 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   8493 | 1510413495 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427807 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   9240 | 1510413969 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    426975 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   9318 | 1510413133 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427467 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |   9782 | 1510413623 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427104 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  10151 | 1510413263 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    428535 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  10420 | 1510414692 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427046 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  10784 | 1510413209 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |    229376 |       0 |         0 |       0 |    427181 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  10920 | 1510413344 |    |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429679 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  11111 | 1510415837 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429245 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  11305 | 1510415401 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427265 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  11647 | 1510413428 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    428304 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  12460 | 1510414460 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427956 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  12884 | 1510414113 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    428270 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  12967 | 1510414434 |    |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429668 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  13428 | 1510415828 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427475 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  14333 | 1510413637 |    |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429485 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  14899 | 1510415636 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    428345 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  14924 | 1510414508 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427207 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  15019 | 1510413356 |    |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429588 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  15741 | 1510415745 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427333 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  16454 | 1510413484 |    |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429589 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  16567 | 1510415752 |    |
